Gene and Linked Enh,,,Functional annotation,,,,,,,,,,,,,,,,,,,,Astrocyte DE of enhancer genes in disease,,,,,,,ROSMAP DE,,,,,,,
Gene,LinkedEnh,Hit,AstAgeing_CombinedStudies,AstAgeing_Krawczyk2022,AstAgeing_Palmer2021,AstMarkers_Adult_Morabito2021,AstMarkers_AllAges_Herring2022,AstMarkers_CombinedStudies,AstMarkers_Foetal_Zhong2018,AstMarkers_Subtypes_Sadick2022,AstMaturation_CombinedStudies,AstMaturation_Herring2022,AstMaturation_Krawczyk2022,AstMaturation_Zhang2016,Housekeeping_CombinedStudies,Housekeeping_Eisenberg2013,Housekeeping_Lin2019,AstActivation_CombinedStudies,AstActivation_Leng2022_ProtocolKrencik,AstActivation_Leng2022_ProtocolLeng,AstActivation_Leng2022_ProtocolLi,AstActivation_Leng2022_ProtocolTCW,AD_Morabito2021,AD_Sadick2022,ASD_Gandal2022,Epilepsy_Zhang2016,GBM_Zhang2016,MS_Jakel2019,Peritumour_Krawczyk2022,cluster_id,logFC,logCPM,F,p_val,p_adj.loc,p_adj.glb,variable
ANKRD1,Enh167/Enh168,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,,,,,,,,
PCGF5,Enh167/Enh168,TRUE,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,-1,1,1,0,0,0,0,0,0,Ast,-0.08441494935,8.10730047,7.419106001,7.2081501110026402E-3,4.8132660520959498E-2,4.8132660520959498E-2,group_fourth_vs_third
PCGF5,Enh167/Enh168,TRUE,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,-1,1,1,0,0,0,0,0,0,Ast,0.09050970069,8.10581757,17.18901647,4.58965100774045e-05,6.2173944772097797E-3,6.2173944772097797E-3,plaq_d_trio_third_vs_second
PCGF5,Enh167/Enh168,TRUE,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,-1,1,1,0,0,0,0,0,0,Ast,0.1172515572,8.110100579,20.88559859,7.4616534503167e-06,2.3970194805288599E-4,2.3970194805288599E-4,amyloid_trio_second_vs_first
PPP1R3C,Enh172/Enh173,TRUE,-1,0,-1,0,1,1,0,1,-1,0,0,-1,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,-1,Ast,-0.2086609028,6.401614067,12.65862088,4.1980774535172399E-4,3.4691782063924499E-3,3.4691782063924499E-3,RUVr_results
PPP1R3C,Enh172/Enh173,TRUE,-1,0,-1,0,1,1,0,1,-1,0,0,-1,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,-1,Ast,-0.392134726,6.481004862,14.50770717,1.8560271809304099E-4,8.1046520233961101E-3,8.1046520233961101E-3,gpath_progression
CTR9,Enh177,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Ast,0.5080371568,4.653218712,7.535804752,6.33577802269199E-3,4.74104229453517E-2,4.74104229453517E-2,cognep_random_slope
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,0.2186777368,8.16716034,28.02459839,3.2545545820224e-07,1.2329999103061901E-4,1.2329999103061901E-4,gpath_progression
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,0.1701213978,8.18926424,11.97100172,7.0116950394971797E-4,9.3451192895165208E-3,9.3451192895165208E-3,group_fourth_vs_third
DKK3,Enh188,TRUE,0,0,0,1,1,3,1,0,1,1,1,-1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Ast,0.2076385489,8.154252529,39.59371491,1.36379417348292e-09,3.33371909073602e-07,3.33371909073602e-07,tangles_trio_third_vs_second
